phantom,TR,TE,CNR_WM_GM,noise_std_est,J
3,400,135,1.0903019694633262,0.020006276339521453,0.5783019694633262
3,400,140,1.0437012423284509,0.020248781546490204,0.5317012423284508
3,400,145,1.0491282763279797,0.019839257358993088,0.5371282763279797
3,400,150,1.0025534249953056,0.020051279779760393,0.49055342499530563
3,400,155,0.9976425810476177,0.020099979559036467,0.4856425810476177
3,400,160,0.9719109073150572,0.01998772911198978,0.45991090731505724
3,400,165,0.9536595623080093,0.020028729450807657,0.4416595623080093
3,400,170,0.9223141988583279,0.019960152892358946,0.41031419885832787
3,400,175,0.8969356162180475,0.019849736814894228,0.3849356162180475
3,400,180,0.8601129148683102,0.020138084768927283,0.3481129148683102
3,400,185,0.8343908941898822,0.020043893689613852,0.3223908941898822
3,400,190,0.8211862652344591,0.019961124570729606,0.30918626523445913
3,400,195,0.7871330057519019,0.020144869365932298,0.2751330057519019
3,400,200,0.7616747175999307,0.020190556894031434,0.24967471759993065
3,500,10,0.392621644900583,0.0200308275421864,-0.24737835509941702
3,500,15,0.12616995792780328,0.0199939810618522,-0.5138300420721967
3,500,20,0.10685399912955379,0.020035436064953074,-0.5331460008704463
3,500,25,0.3109557111686188,0.019997921388154427,-0.3290442888313812
3,500,30,0.5060052462812703,0.019932430406847886,-0.1339947537187297
3,500,35,0.6568524744167671,0.01999707164337615,0.01685247441676707
3,500,40,0.8043719172487912,0.020039454136197496,0.1643719172487912
3,500,45,0.9177117255264549,0.020032097294954698,0.27771172552645484
3,500,50,1.0000619261153176,0.02000216792191474,0.3600619261153176
3,500,55,1.1132852493796632,0.02011477825166444,0.4732852493796632
3,500,60,1.1862262736622249,0.02009999305992134,0.5462262736622249
3,500,65,1.2169824351449987,0.019937783029469087,0.5769824351449987
3,500,70,1.2678306781636233,0.020171431070421235,0.6278306781636233
3,500,75,1.3273571546473988,0.02013820172022098,0.6873571546473988
3,500,80,1.3571491242250233,0.020019530353107003,0.7171491242250233
3,500,85,1.369653093383442,0.020018263744314,0.7296530933834421
3,500,90,1.4049967201933034,0.02005667156029591,0.7649967201933033
3,500,95,1.392826221053059,0.020201956605128638,0.7528262210530591
3,500,100,1.4024852265226257,0.01998447520512374,0.7624852265226257
